Id,Time,Clipped Edges,HipCenter,Spine,ShoulderCenter,Head,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,ShoulderRight,ElbowRight,WristRight,HandRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,Class
49,1.6761908,-0.25905,-0.2552859,-0.2228867,-0.2146308,-0.4059259,-0.4681697,-0.4870116,-0.4913507,-0.06452761,-0.01570715,0.01676415,0.02245662,-0.343677,-0.4027752,-0.4051239,-0.4446195,-0.1856885,-0.1832796,-0.2046954,-0.2421763,1
50,1.7062127,-0.2470531,-0.2424919,-0.2099853,-0.2070125,-0.387958,-0.4595777,-0.4713418,-0.4778773,-0.04973396,-0.009160342,0.03183496,0.03198568,-0.3341371,-0.3784208,-0.4016892,-0.4164235,-0.1722701,-0.1730872,-0.204558,-0.2114601,1
51,1.7402369,-0.2383367,-0.2333605,-0.2022017,-0.1989846,-0.3809786,-0.4485547,-0.4629496,-0.4695481,-0.03937878,-0.004135678,0.06699581,0.05233453,-0.326851,-0.3710859,-0.4027054,-0.4359078,-0.1629035,-0.1667183,-0.2038801,-0.2053321,1
52,1.7622536,-0.2312776,-0.2265308,-0.1973839,-0.1923677,-0.3758047,-0.4373999,-0.4555115,-0.4607535,-0.03307571,0.002722605,0.07197742,0.0564284,-0.318497,-0.3661856,-0.4211431,-0.4367899,-0.1564271,-0.1628592,-0.2031147,-0.2163693,1
53,1.8042824,-0.2275992,-0.2225789,-0.1938384,-0.1876178,-0.3726224,-0.4293413,-0.4509632,-0.4544875,-0.0256638,0.007152955,0.07520024,0.05827606,-0.3145493,-0.3626566,-0.4073966,-0.4342046,-0.1531408,-0.1627595,-0.2027399,-0.2160643,1
54,1.8373056,-0.2253515,-0.220125,-0.1909558,-0.1815816,-0.3705625,-0.4235565,-0.4546162,-0.4594449,-0.02195506,0.01149173,0.07436934,0.04817192,-0.312187,-0.3599829,-0.4124015,-0.4211365,-0.1511486,-0.1616338,-0.199903,-0.2186815,1
55,1.8603223,-0.223347,-0.2180592,-0.1887272,-0.1787814,-0.3686658,-0.4203924,-0.5097915,-0.5016267,-0.01941266,0.03284314,0.06106257,0.04576115,-0.3098614,-0.3578221,-0.3982193,-0.416455,-0.1493969,-0.1470633,-0.1994605,-0.2045776,1
56,1.9053551,-0.2217276,-0.2161904,-0.1847769,-0.1772628,-0.3669469,-0.418417,-0.5130869,-0.5135387,-0.01738918,0.03791305,0.05605523,0.04478257,-0.3080974,-0.3558741,-0.3810065,-0.4360267,-0.147982,-0.1527452,-0.1991533,-0.1997976,1
57,1.9523883,-0.2202382,-0.2144598,-0.1821126,-0.1765697,-0.3653693,-0.4173844,-0.520202,-0.5192461,-0.01564677,0.04227315,0.05326621,0.04339459,-0.3065148,-0.3541632,-0.3792648,-0.3950253,-0.1467935,-0.1581324,-0.1981006,-0.2132622,1
58,1.9914163,-0.2180223,-0.2125079,-0.1803184,-0.176452,-0.3485821,-0.4169767,-0.521906,-0.521743,-0.01412485,0.0441615,0.05193225,0.0421353,-0.303799,-0.3525769,-0.3818483,-0.3946014,-0.1456183,-0.1721001,-0.2005421,-0.22065,1
59,2.0254394,-0.2164423,-0.2109322,-0.1788612,-0.1762703,-0.3446989,-0.4172653,-0.5225772,-0.5220937,-0.0124347,0.04499558,0.05124614,0.04176341,-0.3015539,-0.350708,-0.3888033,-0.3823465,-0.1451139,-0.1744532,-0.2009295,-0.2238741,1
60,2.06547,-0.2154697,-0.209907,-0.1778959,-0.1762969,-0.3429693,-0.4180739,-0.4880291,-0.4821746,-0.01128236,0.04522497,0.05094278,0.03802706,-0.3002203,-0.3480435,-0.3879081,-0.3756992,-0.1447366,-0.1754228,-0.1999566,-0.2226806,1
61,2.0904864,-0.2146258,-0.2089791,-0.1771459,-0.1766368,-0.3421829,-0.4313653,-0.4857385,-0.4920543,-0.01015103,0.04167081,0.0518442,0.0389371,-0.299116,-0.3446152,-0.3877091,-0.3737963,-0.1442618,-0.1687698,-0.2003406,-0.224195,1
